# time E1 E2 E3 W1 W2 W3 W4 W5 W6
0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0
2 0 0 0 0 0 0 0 0 0
3 0 0 0 0 0 0 0 0 0
4 0 0 0 0 0 0 0 0 0
5 0 0 0 0 0 0 0 0 0
6 0 0 0 0 0 0 0 0 0
7 0.0055969 0.0084778 0.0028809 0.0021624 0.0035189 0.004472 0.0041883 0.0038821 0.0024862
8 0.013302 0.023176 0.0098743 0.0077368 0.0085555 0.011898 0.011515 0.010671 0.0063086
9 0.01704 0.030529 0.013488 0.0099458 0.010246 0.015441 0.015119 0.014052 0.0084066
10 0.015084 0.029004 0.013921 0.0099343 0.0088672 0.014682 0.014634 0.013586 0.0078101
11 0.01375 0.02761 0.01386 0.010082 0.00829 0.013936 0.013897 0.012887 0.0072963
12 0.013538 0.026616 0.013077 0.0088041 0.0084008 0.013355 0.013223 0.012256 0.0070284
13 0.017727 0.030715 0.012989 0.0094166 0.011247 0.015343 0.014925 0.013938 0.0085606
14 0.019349 0.031951 0.012601 0.011488 0.013782 0.01662 0.015881 0.014807 0.0090497
15 0.021847 0.032468 0.01062 0.011852 0.017034 0.017632 0.016426 0.015323 0.0095266
16 0.025851 0.033812 0.007961 0.01023 0.0207 0.018918 0.01726 0.016191 0.010469
17 0.029136 0.033223 0.0040875 0.0094953 0.024767 0.019641 0.017336 0.016299 0.010876
18 0.031391 0.032925 0.0015335 0.0091232 0.027459 0.01998 0.017321 0.016332 0.011159
19 0.035053 0.033221 -0.0018318 0.011282 0.032581 0.021115 0.017603 0.016591 0.011628
20 0.039924 0.034355 -0.0055692 0.012564 0.038363 0.022767 0.018356 0.017296 0.012441
21 0.040081 0.034857 -0.0052238 0.017206 0.038893 0.023087 0.018864 0.017815 0.012681
22 0.036154 0.035957 -0.00019742 0.020771 0.035706 0.023142 0.019622 0.018442 0.012313
23 0.029031 0.035393 0.0063616 0.023535 0.028668 0.021316 0.018947 0.017703 0.011089
24 0.025783 0.035318 0.0095347 0.024346 0.025509 0.020719 0.018749 0.01742 0.010597
25 0.023081 0.035293 0.012213 0.022867 0.021639 0.01951 0.01829 0.017019 0.01024
26 0.02147 0.035008 0.013538 0.024702 0.021025 0.019373 0.017956 0.016591 0.0099984
27 0.021329 0.036473 0.015144 0.026273 0.021249 0.019934 0.018504 0.017087 0.010227
28 0.023245 0.039818 0.016573 0.020839 0.021483 0.021251 0.019929 0.018478 0.011275
29 0.024663 0.041595 0.016931 0.022621 0.022964 0.022485 0.021118 0.019621 0.012144
30 0.027392 0.045633 0.018241 0.021262 0.024005 0.024129 0.022931 0.021406 0.013564
31 0.029628 0.051579 0.021951 0.016132 0.02167 0.025987 0.025746 0.024258 0.015712
32 0.032131 0.054804 0.022673 0.0060393 0.017779 0.02597 0.026943 0.025766 0.017607
33 0.03159 0.05515 0.02356 0.0054991 0.015869 0.025985 0.027529 0.026382 0.018169
